"ss_id","ss_name","address","gov_id","city_id","longitude","latitude","pversion","ptype"
"1032573","中海国际社区","南京南街与长白中路交汇处东南侧","466","465","123.404118","41.742238","2019/9/11","{4,3}"
"1032598","保利·茉莉公馆","红椿路38-32号","466","465","123.388215","41.698104","2019/9/11","{4,4}"
"1032708","中海和平之门·青春志","长白南路南200米","466","465","123.415929","41.730299","2019/9/11","{4,3}"
"1032715","恒大半岛天境2期","仙岛北路474号","466","465","123.41978","41.737751","2019/9/11","{9,0}"
"1032981","万科社区","方南路9-1号512","467","465","123.493073","41.77031","2019/9/11","{4,1}"
"1032983","保利花园","东平路4号","467","465","123.538661","41.804697","2019/9/11","{4,4}"
"1032554","万科·鹿特丹","长白二街285-2号(长白一路北侧)","466","465","123.399534","41.729829","2019/9/11","{4,1}"
"1032648","万科金地中山公园","南三马路67号(中山公园南门对面)","466","465","123.404965","41.783165","2019/9/11","{4,1}"
"1032665","华润·幸福里4期","南京南街与长白中路交汇处西北","466","465","123.401339","41.743458","2019/9/11","{4,5}"
"1032669","中海·和平之门","长白南路339号(长白桥南200米)","466","465","123.413566","41.72983","2019/9/11","{4,3}"
"1032684","中海和平之门4期城市庭院(建设中)","长白南路南100米","466","465","123.401198","41.727761","2019/9/11","{4,3}"
"1032919","万科花园新城牵晴苑","方南路7号长青万科花园","467","465","123.491949","41.769614","2019/9/11","{4,1}"
"1033026","保利海上五月花4期","东陵街道东新路37-1号26号楼","467","465","123.529056","41.798974","2019/9/11","{4,4}"
"1033033","保利海上五月花1期","新泰街","467","465","123.533662","41.800742","2019/9/11","{4,4}"
"1032944","保利·康桥","沈水路632-2号","467","465","123.493503","41.760133","2019/9/11","{4,4}"
"1032950","保利·香槟国际","东陵西路28-25号","467","465","123.527758","41.817176","2019/9/11","{4,4}"
"1033056","保利回迁房","新立堡路30号","467","465","123.536623","41.812469","2019/9/11","{4,4}"
"1032968","华润·中央公园(南关路)","南关路19号(辽宁奉天中医院东行200米)","467","465","123.445992","41.780839","2019/9/11","{4,5}"
"1033496","中海寰宇天下","昆山西路75号","469","465","123.379454","41.822471","2019/9/11","{4,3}"
"1033261","万科蓝山","东北大马路301号","468","465","123.509392","41.829585","2019/9/11","{4,1}"
"1033293","恒大翡翠华庭","轩兴二路1号","468","465","123.485159","41.858544","2019/9/11","{9,0}"
"1033319","万科城市之光","和睦北二路33号","468","465","123.500108","41.811864","2019/9/11","{4,1}"
"1033654","华润昆仑御(建设中)","杏山北路10号","469","465","123.419325","41.868319","2019/9/11","{4,5}"
"1033585","保利·溪湖林语","文大路339号","469","465","123.380506","41.894819","2019/9/11","{4,4}"
"1033588","恒大雅苑(文大公路)","文大公路221号","469","465","123.396873","41.898776","2019/9/11","{9,0}"
"1033599","保利大都会(建设中)","白龙江街25号","469","465","123.432745","41.82715","2019/9/11","{4,4}"
"1033606","碧桂园学府壹号","青城山路","469","465","123.404186","41.895443","2019/9/11","{4,2}"
"1033609","华润·紫云府","鸭绿江东街7号","469","465","123.46079","41.837667","2019/9/11","{4,5}"
"1033619","万科金域华府","文大公路231号","469","465","123.390795","41.898824","2019/9/11","{4,1}"
"1033624","保利溪湖林语5期","青城北路","469","465","123.385571","41.894895","2019/9/11","{4,4}"
"1033629","保利溪湖林语六期","文大路341号","469","465","123.384918","41.900857","2019/9/11","{4,4}"
"1033729","华润置地净月臺","张士开发区星海路12号","470","465","123.29948","41.765254","2019/9/11","{4,5}"
"1033657","华润紫云府2期","鸭绿江东街6号","469","465","123.46029","41.838252","2019/9/11","{4,5}"
"1033906","保利百合花园(爱工北街)","北二路爱工北街9","470","465","123.389544","41.803716","2019/9/11","{4,4}"
"1033862","中海公寓","兴工北街64号,近沈阳火车站西广场","470","465","123.389843","41.799567","2019/9/11","{4,3}"
"1034096","万科铁西蓝山","卫工北街42号","470","465","123.351414","41.813227","2019/9/11","{4,1}"
"1033998","恒大华府","肇工北街25号(肇工北街与北三西路交汇处)","470","465","123.342073","41.815669","2019/9/11","{9,0}"
"1034027","万科·润园(肇工北街)","肇工北街13号(肇工北街与北一路交汇处)","470","465","123.345562","41.823598","2019/9/11","{4,1}"
"1034031","万科·朗润园","启工街道肇工街与北二路交汇","470","465","123.340794","41.820782","2019/9/11","{4,1}"
"1034190","万科圣丰·翡翠之光(建设中)","铁西齐贤北街32号","470","465","123.360238","41.800972","2019/9/11","{4,1}"
"1034130","万科城市花园(五十二巷)","南滑翔路58-6号","470","465","123.361207","41.771309","2019/9/11","{4,1}"
"1034167","华润·二十四城(建设中)","沧海路","470","465","123.297303","41.777155","2019/9/11","{4,5}"
"1034206","万科西华府(建设中)","昆明湖街东50米","470","465","123.29762","41.768803","2019/9/11","{4,1}"
"1034211","融创沈阳府(建设中)","燕塞湖街8号","470","465","123.302906","41.771759","2019/9/11","{9,1}"
"1034225","碧桂园·峯华盛京","北一东路112号(北一路与兴华北街交汇处)","470","465","123.386007","41.813916","2019/9/11","{4,2}"
"1034411","保利达江湾城","浑南二路6号五爱隧道浑南出口西侧200米(奥体)","472","465","123.457276","41.747993","2019/9/11","{4,4}"
"1034314","恒大名都","和平长白桥南南京南街1001号(长白岛南侧,体育学院北侧)","471","465","123.394495","41.685257","2019/9/11","{9,0}"
"1034440","绿城·沈阳全运村","沈中大街101-1号","472","465","123.468405","41.681089","2019/9/11","{9,2}"
"1034446","沈阳碧桂园玺园","碧桂大街西100米","472","465","123.629507","41.879338","2019/9/11","{4,2}"
"1034448","万科·明天广场","新隆街1号(沈丹高速西侧)","472","465","123.457628","41.722539","2019/9/11","{4,1}"
"1034451","绿地·国宾府(建设中)","辉山668号","472","465","123.641007","41.915529","2019/9/11","{9,3}"
"1034474","保利白沙林语","玄菟路580号(金橙街与玄菟路交汇处西北角)","472","465","123.60241","41.808297","2019/9/11","{4,4}"
"1034487","中海康城","沈中大街26号","472","465","123.462299","41.701564","2019/9/11","{4,3}"
"1034413","保利·十二橡树庄园","沈棋路盛京高尔夫前行1000米","472","465","123.628902","41.848309","2019/9/11","{4,4}"
"1034500","绿地海域香庭","白塔河二路与智慧大街交汇处南100米","472","465","123.443872","41.691792","2019/9/11","{9,3}"
"1034526","恒大盛京印象(建设中)","智慧四街","472","465","123.460575","41.692873","2019/9/11","{9,0}"
"1034414","万科·金域蓝湾","朗日街1号(近金海园、鑫科苑)","472","465","123.489855","41.747961","2019/9/11","{4,1}"
"1034533","恒大御峰(建设中)","高深路","472","465","123.451297","41.686262","2019/9/11","{9,0}"
"1034536","城建万科翡翠书院","汇泉东路5号","472","465","123.495012","41.731776","2019/9/11","{4,1}"
"1034537","绿城·玉兰花园","全运一东路北100米","472","465","123.477376","41.682942","2019/9/11","{9,2}"
"1034538","保利达·大象","浑南新区浑南二路6号保利达江湾城","472","465","123.457756","41.746994","2019/9/11","{4,4}"
"1034540","Vanke万科翡翠书院","长清南街小拇指汽车微修对过","472","465","123.50207","41.732389","2019/9/11","{4,1}"
"1034676","绿地·大溪地","天时街辉山(大溪地)公交站南100米","473","465","123.611714","41.918208","2019/9/11","{9,3}"
"1034619","融创唐轩·公馆","蒲昌路1号(沈阳师范大学北)","473","465","123.40723","41.914771","2019/9/11","{9,1}"
"1034637","融创臻园","蒲新路13号","473","465","123.437949","41.930852","2019/9/11","{9,1}"
"1034639","碧桂园·钻石郡","浑南区碧桂大街东150米","473","465","123.630603","41.879525","2019/9/11","{4,2}"
"1034746","万科·四季花城","西江街105号","474","465","123.390535","41.852787","2019/9/11","{4,1}"
"1034857","万科·公园大道","渤海路21号","474","465","123.301715","41.788364","2019/9/11","{4,1}"
"1034779","恒大绿洲(阳光路)","南阳湖街168号","474","465","123.331526","41.743397","2019/9/11","{9,0}"
"1034858","中海创富广场","西江街180号(中海城南)","474","465","123.378814","41.861189","2019/9/11","{4,3}"
"1034893","恒大滨江苑","南阳湖二街与阳光路交叉口北150米","474","465","123.331636","41.740471","2019/9/11","{9,0}"
"1034834","万科香湖盛景","元江街57号","474","465","123.351371","41.866558","2019/9/11","{4,1}"
"1034835","保利上林湾","白山路172号","474","465","123.366095","41.857996","2019/9/11","{4,4}"
"1034862","恒大御景湾","松山路与滨江街交汇处北侧","474","465","123.362529","41.864066","2019/9/11","{9,0}"
"1034910","碧桂园银河城星座","大通湖街168号","474","465","123.34041","41.760999","2019/9/11","{4,2}"
"1034863","恒大城","怒江北街201-1号(千山西路与怒江北街交汇处)","474","465","123.400525","41.878785","2019/9/11","{9,0}"
"1034924","万科翡翠公园(建设中)","西湖街7号","474","465","123.291704","41.790288","2019/9/11","{4,1}"
"1034946","万科四季公园","仙女河路与南阳湖街交叉口东500米路南","474","465","123.324749","41.759788","2019/9/11","{4,1}"
"1034947","保利·溪湖林语7期","青城山路北200米","474","465","123.389551","41.894358","2019/9/11","{4,4}"
"1034955","保利·观唐","甘河街与青城山路交叉口东50米","474","465","123.378812","41.890945","2019/9/11","{4,4}"
"1034968","恒大悦龙台(建设中)","广业西路南侧","474","465","123.298454","41.840135","2019/9/11","{9,0}"
"1034969","居家无忧社区(恒大社区店)","恒大绿洲","474","465","123.331738","41.743196","2019/9/11","{9,0}"
"1034975","碧桂园","碧桂园银河城天域一期123号楼","474","465","123.335981","41.749109","2019/9/11","{4,2}"
"1034980","碧桂园银亿大城印象(建设中)","怒江北街与辉山西路交汇处","474","465","123.393146","41.883721","2019/9/11","{4,2}"
